codigo_omm,station_name,state,state_initials,region,latitude,longitude,altitude,altitude_type,start_operation_date,station_situation,data_situation
83689,BARBACENA,Minas_Gerais,MG,Sudeste,-21.25,-43.76,1126.00,meters,1914-06-09,operante,operante
82784,BARBALHA,Ceara,CE,Nordeste,-7.31,-39.3,409.03,meters,1948-01-01,operante,operante
82113,BARCELOS,Amazonas,AM,Norte,-0.96,-62.91,40.00,meters,1924-08-01,operante,operante
83179,BARRA,Bahia,BA,Nordeste,-11.08,-43.16,401.58,meters,1925-03-03,operante,operante
82571,BARRA DO CORDA,Maranhao,MA,Nordeste,-5.5,-45.23,153.00,meters,1912-01-14,operante,operante
83236,BARREIRAS,Bahia,BA,Nordeste,-12.15,-45,439.29,meters,1924-01-01,operante,operante
82191,BELEM,Para,PA,Norte,-1.43,-48.43,10.00,meters,1923-11-01,operante,operante
83587,BELO HORIZONTE,Minas_Gerais,MG,Sudeste,-19.93,-43.93,915.00,meters,1910-03-03,operante,operante
82246,BELTERRA,Para,PA,Norte,-2.63,-54.95,175.74,meters,1971-08-01,operante,operante
82410,BENJAMIN CONSTANT,Amazonas,AM,Norte,-4.38,-70.03,65.00,meters,1924-01-01,operante,operante
82024,BOA VISTA,Roraima,RR,Norte,2.82,-60.66,83.00,meters,1923-01-01,operante,operante
83533,BOM DESPACHO,Minas_Gerais,MG,Sudeste,-19.68,-45.36,695.00,meters,1981-01-01,operante,operante
83919,BOM JESUS,Rio_Grande_do_Sul,RS,Sul,-28.66,-50.43,1047.50,meters,1948-05-01,operante,operante
83288,BOM JESUS DA LAPA,Bahia,BA,Nordeste,-13.26,-43.41,439.96,meters,1941-11-01,operante,operante
82975,BOM JESUS DO PIAUI,Piaui,PI,Nordeste,-9.1,-44.11,331.74,meters,1971-04-19,operante,operante
83377,BRASILIA,Distrito_Federal,DF,Centro-Oeste,-15.78,-47.92,1159.54,meters,1961-09-12,operante,operante
82188,BREVES,Para,PA,Norte,-1.68,-50.48,14.74,meters,1970-09-01,operante,operante
83589,C  DO MATO DENTRO,Minas_Gerais,MG,Sudeste,-19.02,-43.43,652.00,meters,1925-06-30,operante,operante
82886,CABROBO,Pernambuco,PE,Nordeste,-8.51,-39.33,341.46,meters,1927-10-17,operante,operante
