codigo_omm,station_name,state,state_initials,region,latitude,longitude,altitude,altitude_type,start_operation_date,station_situation,data_situation,data,hora,temp_comp_media,umidade_relativa_media,velocidade_vento_media
82098,MACAPA,Amapa,AP,Norte,-0.05,-51.11,14.46,meters,1925-01-01,operante,operante,15/03/2016,0000,27.12,86.75,0,
82098,MACAPA,Amapa,AP,Norte,-0.05,-51.11,14.46,meters,1925-01-01,operante,operante,16/03/2016,0000,25.88,92,0.866667,
82098,MACAPA,Amapa,AP,Norte,-0.05,-51.11,14.46,meters,1925-01-01,operante,operante,17/03/2016,0000,26.7,90.25,0.866667,
82098,MACAPA,Amapa,AP,Norte,-0.05,-51.11,14.46,meters,1925-01-01,operante,operante,18/03/2016,0000,27.76,85.75,0.666667,
82098,MACAPA,Amapa,AP,Norte,-0.05,-51.11,14.46,meters,1925-01-01,operante,operante,19/03/2016,0000,27.02,90.25,0,
82098,MACAPA,Amapa,AP,Norte,-0.05,-51.11,14.46,meters,1925-01-01,operante,operante,20/03/2016,0000,26.8,83,0.533333,
82098,MACAPA,Amapa,AP,Norte,-0.05,-51.11,14.46,meters,1925-01-01,operante,operante,21/03/2016,0000,27.78,82.75,0.866667,
82098,MACAPA,Amapa,AP,Norte,-0.05,-51.11,14.46,meters,1925-01-01,operante,operante,22/03/2016,0000,26.82,89.5,0.933333,
82098,MACAPA,Amapa,AP,Norte,-0.05,-51.11,14.46,meters,1925-01-01,operante,operante,23/03/2016,0000,26.54,89.5,1.266667,
82098,MACAPA,Amapa,AP,Norte,-0.05,-51.11,14.46,meters,1925-01-01,operante,operante,24/03/2016,0000,25.66,93,0.8,
82098,MACAPA,Amapa,AP,Norte,-0.05,-51.11,14.46,meters,1925-01-01,operante,operante,25/03/2016,0000,27.24,85.25,1.8,
82098,MACAPA,Amapa,AP,Norte,-0.05,-51.11,14.46,meters,1925-01-01,operante,operante,26/03/2016,0000,26.84,89,0.5,
82098,MACAPA,Amapa,AP,Norte,-0.05,-51.11,14.46,meters,1925-01-01,operante,operante,27/03/2016,0000,26.06,91.75,0,
82098,MACAPA,Amapa,AP,Norte,-0.05,-51.11,14.46,meters,1925-01-01,operante,operante,28/03/2016,0000,25.64,94.75,0.666667,
82098,MACAPA,Amapa,AP,Norte,-0.05,-51.11,14.46,meters,1925-01-01,operante,operante,29/03/2016,0000,26.06,89.75,1.933333,
82098,MACAPA,Amapa,AP,Norte,-0.05,-51.11,14.46,meters,1925-01-01,operante,operante,30/03/2016,0000,27.5,85.5,0,
82098,MACAPA,Amapa,AP,Norte,-0.05,-51.11,14.46,meters,1925-01-01,operante,operante,31/03/2016,0000,27.58,86,1.633333,
82098,MACAPA,Amapa,AP,Norte,-0.05,-51.11,14.46,meters,1925-01-01,operante,operante,01/04/2016,0000,26.42,90.5,0.666667,
82098,MACAPA,Amapa,AP,Norte,-0.05,-51.11,14.46,meters,1925-01-01,operante,operante,02/04/2016,0000,27.3,83,0.766667,
82098,MACAPA,Amapa,AP,Norte,-0.05,-51.11,14.46,meters,1925-01-01,operante,operante,03/04/2016,0000,25.14,93,0,
82098,MACAPA,Amapa,AP,Norte,-0.05,-51.11,14.46,meters,1925-01-01,operante,operante,04/04/2016,0000,27.54,82.75,1.066667,
82098,MACAPA,Amapa,AP,Norte,-0.05,-51.11,14.46,meters,1925-01-01,operante,operante,05/04/2016,0000,27.26,85.25,1.666667,
82098,MACAPA,Amapa,AP,Norte,-0.05,-51.11,14.46,meters,1925-01-01,operante,operante,06/04/2016,0000,28.18,81.5,1.133333,
82098,MACAPA,Amapa,AP,Norte,-0.05,-51.11,14.46,meters,1925-01-01,operante,operante,07/04/2016,0000,28.68,80,1.133333,
82098,MACAPA,Amapa,AP,Norte,-0.05,-51.11,14.46,meters,1925-01-01,operante,operante,08/04/2016,0000,28.54,78.25,1.4,
82098,MACAPA,Amapa,AP,Norte,-0.05,-51.11,14.46,meters,1925-01-01,operante,operante,09/04/2016,0000,27.48,85.75,0.766667,
82098,MACAPA,Amapa,AP,Norte,-0.05,-51.11,14.46,meters,1925-01-01,operante,operante,10/04/2016,0000,26.74,92.25,1.1,
82098,MACAPA,Amapa,AP,Norte,-0.05,-51.11,14.46,meters,1925-01-01,operante,operante,11/04/2016,0000,26.86,86.5,1.066667,
82098,MACAPA,Amapa,AP,Norte,-0.05,-51.11,14.46,meters,1925-01-01,operante,operante,12/04/2016,0000,25.56,94.25,0.333333,
82098,MACAPA,Amapa,AP,Norte,-0.05,-51.11,14.46,meters,1925-01-01,operante,operante,13/04/2016,0000,25.26,91.5,0.666667,
82098,MACAPA,Amapa,AP,Norte,-0.05,-51.11,14.46,meters,1925-01-01,operante,operante,14/04/2016,0000,27.04,86,0.333333,
82098,MACAPA,Amapa,AP,Norte,-0.05,-51.11,14.46,meters,1925-01-01,operante,operante,15/04/2016,0000,28.02,80.25,0.8,
82098,MACAPA,Amapa,AP,Norte,-0.05,-51.11,14.46,meters,1925-01-01,operante,operante,16/04/2016,0000,29.02,77.25,1.9,
82098,MACAPA,Amapa,AP,Norte,-0.05,-51.11,14.46,meters,1925-01-01,operante,operante,17/04/2016,0000,27.8,90,0,
82098,MACAPA,Amapa,AP,Norte,-0.05,-51.11,14.46,meters,1925-01-01,operante,operante,18/04/2016,0000,26.68,89.25,0,
82098,MACAPA,Amapa,AP,Norte,-0.05,-51.11,14.46,meters,1925-01-01,operante,operante,19/04/2016,0000,26.94,89.25,0.333333,
82098,MACAPA,Amapa,AP,Norte,-0.05,-51.11,14.46,meters,1925-01-01,operante,operante,20/04/2016,0000,28.06,84.25,1.2,
82098,MACAPA,Amapa,AP,Norte,-0.05,-51.11,14.46,meters,1925-01-01,operante,operante,21/04/2016,0000,27.2,92.75,0.666667,
82098,MACAPA,Amapa,AP,Norte,-0.05,-51.11,14.46,meters,1925-01-01,operante,operante,22/04/2016,0000,26.96,88.25,0.333333,
82098,MACAPA,Amapa,AP,Norte,-0.05,-51.11,14.46,meters,1925-01-01,operante,operante,23/04/2016,0000,27.4,86.25,2.966667,
82098,MACAPA,Amapa,AP,Norte,-0.05,-51.11,14.46,meters,1925-01-01,operante,operante,24/04/2016,0000,25.82,91,0,
82098,MACAPA,Amapa,AP,Norte,-0.05,-51.11,14.46,meters,1925-01-01,operante,operante,25/04/2016,0000,26.06,93.5,0.333333,
82098,MACAPA,Amapa,AP,Norte,-0.05,-51.11,14.46,meters,1925-01-01,operante,operante,26/04/2016,0000,26.82,91,0.333333,
82098,MACAPA,Amapa,AP,Norte,-0.05,-51.11,14.46,meters,1925-01-01,operante,operante,27/04/2016,0000,28.54,79.75,2,
82098,MACAPA,Amapa,AP,Norte,-0.05,-51.11,14.46,meters,1925-01-01,operante,operante,28/04/2016,0000,,77.5,2.266667,
82098,MACAPA,Amapa,AP,Norte,-0.05,-51.11,14.46,meters,1925-01-01,operante,operante,29/04/2016,0000,27.5,89,0.666667,
82098,MACAPA,Amapa,AP,Norte,-0.05,-51.11,14.46,meters,1925-01-01,operante,operante,30/04/2016,0000,28.3,79.5,0.333333,
82098,MACAPA,Amapa,AP,Norte,-0.05,-51.11,14.46,meters,1925-01-01,operante,operante,01/05/2016,0000,28.36,79.75,0.6,
82098,MACAPA,Amapa,AP,Norte,-0.05,-51.11,14.46,meters,1925-01-01,operante,operante,02/05/2016,0000,28.88,75.75,0.633333,
82098,MACAPA,Amapa,AP,Norte,-0.05,-51.11,14.46,meters,1925-01-01,operante,operante,03/05/2016,0000,29.02,77,1.9,
82098,MACAPA,Amapa,AP,Norte,-0.05,-51.11,14.46,meters,1925-01-01,operante,operante,04/05/2016,0000,25.6,92,0.866667,
82098,MACAPA,Amapa,AP,Norte,-0.05,-51.11,14.46,meters,1925-01-01,operante,operante,05/05/2016,0000,27.54,84.25,1.266667,
82098,MACAPA,Amapa,AP,Norte,-0.05,-51.11,14.46,meters,1925-01-01,operante,operante,06/05/2016,0000,28.3,73.75,2,
82098,MACAPA,Amapa,AP,Norte,-0.05,-51.11,14.46,meters,1925-01-01,operante,operante,07/05/2016,0000,28.56,79,1.133333,
